country.value,indicator,date,value,countryiso3code
India,GC.DOD.TOTL.GD.ZS,2001,59.0179097968845,IND
India,BN.CAB.XOKA.GD.ZS,2001,0.290495460210207,IND
India,NY.GDP.MKTP.KD.ZG,2002,3.80397532112175,IND
India,FP.CPI.TOTL.ZG,2002,4.29715203929563,IND
India,SL.UEM.TOTL.ZS,2002,7.753,IND
India,GC.DOD.TOTL.GD.ZS,2002,62.5527712945573,IND
India,BN.CAB.XOKA.GD.ZS,2002,1.37093793900847,IND
India,NY.GDP.MKTP.KD.ZG,2003,7.8603814759073,IND
India,FP.CPI.TOTL.ZG,2003,3.80585899528851,IND
India,SL.UEM.TOTL.ZS,2003,7.68,IND
India,GC.DOD.TOTL.GD.ZS,2003,62.1900538960464,IND
India,BN.CAB.XOKA.GD.ZS,2003,1.44355773291234,IND
India,NY.GDP.MKTP.KD.ZG,2004,7.92293661199932,IND
India,FP.CPI.TOTL.ZG,2004,3.76725173477515,IND
India,SL.UEM.TOTL.ZS,2004,7.625,IND
India,GC.DOD.TOTL.GD.ZS,2004,62.5929767433885,IND
India,BN.CAB.XOKA.GD.ZS,2004,0.110018010197153,IND
India,NY.GDP.MKTP.KD.ZG,2005,7.92343062148318,IND
India,FP.CPI.TOTL.ZG,2005,4.24634362031922,IND
India,SL.UEM.TOTL.ZS,2005,7.552,IND
India,GC.DOD.TOTL.GD.ZS,2005,62.2265261001737,IND
India,BN.CAB.XOKA.GD.ZS,2005,-1.25350400207393,IND
India,NY.GDP.MKTP.KD.ZG,2006,8.06073257166651,IND
India,FP.CPI.TOTL.ZG,2006,5.79652337561634,IND
India,SL.UEM.TOTL.ZS,2006,7.552,IND
India,GC.DOD.TOTL.GD.ZS,2006,59.6667302762217,IND
India,BN.CAB.XOKA.GD.ZS,2006,-0.988988302952292,IND
India,NY.GDP.MKTP.KD.ZG,2007,7.6608150670107,IND
India,FP.CPI.TOTL.ZG,2007,6.37288135593231,IND
India,SL.UEM.TOTL.ZS,2007,7.561,IND
India,GC.DOD.TOTL.GD.ZS,2007,57.4975363892468,IND
India,BN.CAB.XOKA.GD.ZS,2007,-0.66371764877261,IND
India,NY.GDP.MKTP.KD.ZG,2008,3.08669805921981,IND
India,FP.CPI.TOTL.ZG,2008,8.34926704907581,IND
India,SL.UEM.TOTL.ZS,2008,7.656,IND
India,GC.DOD.TOTL.GD.ZS,2008,57.2922142809949,IND
India,BN.CAB.XOKA.GD.ZS,2008,-2.58337749259838,IND
India,NY.GDP.MKTP.KD.ZG,2009,7.86188883286074,IND
India,FP.CPI.TOTL.ZG,2009,10.8823529411764,IND
India,SL.UEM.TOTL.ZS,2009,7.664,IND
India,GC.DOD.TOTL.GD.ZS,2009,55.2564461117969,IND
India,BN.CAB.XOKA.GD.ZS,2009,-1.95146209111802,IND
India,NY.GDP.MKTP.KD.ZG,2010,8.49758470221235,IND
India,FP.CPI.TOTL.ZG,2010,11.9893899204244,IND
