country.value,countryiso3code,date,value,indicator
Germany,DEU,2019,7.88005874480123,BN.CAB.XOKA.GD.ZS
Germany,DEU,2020,-4.09513751682526,NY.GDP.MKTP.KD.ZG
Germany,DEU,2020,0.144877925813982,FP.CPI.TOTL.ZG
Germany,DEU,2020,3.881,SL.UEM.TOTL.ZS
Germany,DEU,2020,6.34985102790796,BN.CAB.XOKA.GD.ZS
Germany,DEU,2021,3.6699998840452,NY.GDP.MKTP.KD.ZG
Germany,DEU,2021,3.06666666666673,FP.CPI.TOTL.ZG
Germany,DEU,2021,3.594,SL.UEM.TOTL.ZS
Germany,DEU,2021,6.93113737824586,BN.CAB.XOKA.GD.ZS
Germany,DEU,2022,1.36973104612758,NY.GDP.MKTP.KD.ZG
Germany,DEU,2022,6.87257438551097,FP.CPI.TOTL.ZG
Germany,DEU,2022,3.12,SL.UEM.TOTL.ZS
Germany,DEU,2022,3.88506689580802,BN.CAB.XOKA.GD.ZS
Germany,DEU,2023,-0.266438401180253,NY.GDP.MKTP.KD.ZG
Germany,DEU,2023,5.94643667725823,FP.CPI.TOTL.ZG
Germany,DEU,2023,3.068,SL.UEM.TOTL.ZS
Germany,DEU,2023,5.55668585897884,BN.CAB.XOKA.GD.ZS
Germany,DEU,2024,-0.238526858256165,NY.GDP.MKTP.KD.ZG
Germany,DEU,2024,2.2564981433876,FP.CPI.TOTL.ZG
Germany,DEU,2024,3.406,SL.UEM.TOTL.ZS
Germany,DEU,2024,5.73091235034847,BN.CAB.XOKA.GD.ZS
India,IND,2000,3.84099115659129,NY.GDP.MKTP.KD.ZG
India,IND,2000,4.0094359104519,FP.CPI.TOTL.ZG
India,IND,2000,7.624,SL.UEM.TOTL.ZS
India,IND,2000,55.0042464964554,GC.DOD.TOTL.GD.ZS
India,IND,2000,-0.982342580017138,BN.CAB.XOKA.GD.ZS
India,IND,2001,4.82396626555771,NY.GDP.MKTP.KD.ZG
India,IND,2001,3.77929312235637,FP.CPI.TOTL.ZG
India,IND,2001,7.653,SL.UEM.TOTL.ZS
India,IND,2001,59.0179097968845,GC.DOD.TOTL.GD.ZS
India,IND,2001,0.290495460210207,BN.CAB.XOKA.GD.ZS
India,IND,2002,3.80397532112175,NY.GDP.MKTP.KD.ZG
India,IND,2002,4.29715203929563,FP.CPI.TOTL.ZG
India,IND,2002,7.753,SL.UEM.TOTL.ZS
India,IND,2002,62.5527712945573,GC.DOD.TOTL.GD.ZS
India,IND,2002,1.37093793900847,BN.CAB.XOKA.GD.ZS
India,IND,2003,7.8603814759073,NY.GDP.MKTP.KD.ZG
India,IND,2003,3.80585899528851,FP.CPI.TOTL.ZG
India,IND,2003,7.68,SL.UEM.TOTL.ZS
India,IND,2003,62.1900538960464,GC.DOD.TOTL.GD.ZS
India,IND,2003,1.44355773291234,BN.CAB.XOKA.GD.ZS
India,IND,2004,7.92293661199932,NY.GDP.MKTP.KD.ZG
India,IND,2004,3.76725173477515,FP.CPI.TOTL.ZG
India,IND,2004,7.625,SL.UEM.TOTL.ZS
India,IND,2004,62.5929767433885,GC.DOD.TOTL.GD.ZS
India,IND,2004,0.110018010197153,BN.CAB.XOKA.GD.ZS
India,IND,2005,7.92343062148318,NY.GDP.MKTP.KD.ZG
India,IND,2005,4.24634362031922,FP.CPI.TOTL.ZG
India,IND,2005,7.552,SL.UEM.TOTL.ZS
India,IND,2005,62.2265261001737,GC.DOD.TOTL.GD.ZS
India,IND,2005,-1.25350400207393,BN.CAB.XOKA.GD.ZS
India,IND,2006,8.06073257166651,NY.GDP.MKTP.KD.ZG
India,IND,2006,5.79652337561634,FP.CPI.TOTL.ZG
India,IND,2006,7.552,SL.UEM.TOTL.ZS
India,IND,2006,59.6667302762217,GC.DOD.TOTL.GD.ZS
India,IND,2006,-0.988988302952292,BN.CAB.XOKA.GD.ZS
India,IND,2007,7.6608150670107,NY.GDP.MKTP.KD.ZG
